FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;COICOP;Coicop (DESC);NUMBER_HOUSEHOLD_COMP;Numero di componenti della famiglia;Tempo (TIME_PERIOD);Osservazione;OBS_STATUS;'Stato dell"'osservazione'
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;1997;197.37;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;1998;201.48;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;1999;197.5;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2000;201.89;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2001;203.86;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2002;214.55;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2003;225.86;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2004;228.84;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2005;240.69;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2006;246.3;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2007;246.93;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2008;255.46;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2009;249.8;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2010;259.21;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2011;264.83;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2012;271.44;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2013;269.77;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2014;274.48;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2015;276.69;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2016;291.17;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2017;293.44;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2018;285.38;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2019;298.58;;
A;Annuale;IT;Italia;SPESA_MEDIA;Spesa media mensile familiare (in euro correnti);01;-- prodotti alimentari e bevande analcoliche;N1;1;2020;298.39;;
