FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;COICOP_CATEG;Gruppo di spesa;PURCH_BEHAVIOUR;Abitudine di spesa;Tempo (TIME_PERIOD);Osservazione;OBS_STATUS;'Stato dell"'osservazione'
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2018;65.6;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2019;69.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2020;73.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;SAME_QN_QL;Un anno fa li compravo e continuo a comprarli senza modifiche;2021;73;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2018;31.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2019;28;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2020;23.8;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;LESS_QN_QL;Un anno fa li compravo e ho limitato la spesa in quantità e/o qualità;2021;24.2;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2018;2.4;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2019;2.3;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2020;1.9;;
A;Annuale;IT;Italia;FAM_VAL_PERC;Famiglie (composizione %);FOOD;Cibi;MR_QN_BT_QL;Un anno fa li compravo e ho aumentato la spesa in quantità e/o qualità;2021;2.3;;
